local,value,latitude,longitude,location
2017-01-01,556.0736842105263,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-02,264.1578947368421,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-03,189.45679012345678,28.623499999999986,77.24939999999994,Income Tax Office
2017-01-04,152.20833333333334,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-05,201.44791666666666,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-06,152.96875,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-07,110.22916666666667,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-08,141.20833333333334,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-09,120.77083333333333,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-10,100.97894736842105,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-11,157.14285714285714,28.623500000000014,77.24940000000001,Income Tax Office
2017-01-12,205.328125,28.62349999999997,77.2494,Income Tax Office
2017-01-13,240.34146341463415,28.62349999999999,77.24939999999992,Income Tax Office
2017-01-14,178.54347826086956,28.623500000000007,77.24939999999991,Income Tax Office
2017-01-15,173.67708333333334,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-16,119.6063829787234,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-17,115.38947368421053,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-18,118.46875,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-19,104.52083333333333,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-20,111.10416666666667,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-21,279.7157894736842,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-22,310.5208333333333,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-23,186.46808510638297,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-24,179.83333333333334,28.62350000000001,77.2493999999999,Income Tax Office
2017-01-25,183.98863636363637,28.6235,77.24939999999991,Income Tax Office
2017-01-26,80.37209302325581,28.623499999999996,77.24939999999992,Income Tax Office
2017-01-27,26.333333333333332,28.623499999999986,77.24939999999994,Income Tax Office
2017-01-28,74.15294117647059,28.623499999999993,77.24939999999992,Income Tax Office
2017-01-29,132.5268817204301,28.623500000000007,77.2493999999999,Income Tax Office
2017-01-30,163.36470588235295,28.623499999999993,77.24939999999992,Income Tax Office
2017-01-31,140.7674418604651,28.623499999999996,77.24939999999992,Income Tax Office
2017-02-01,146.84883720930233,28.623499999999996,77.24939999999992,Income Tax Office
2017-02-02,171.71764705882353,28.623499999999993,77.24939999999992,Income Tax Office
2017-02-03,239.31460674157304,28.6235,77.24939999999991,Income Tax Office
2017-02-04,-87.6,28.623500000000003,77.24939999999991,Income Tax Office
2017-02-05,-427.5113636363636,28.6235,77.24939999999991,Income Tax Office
2017-02-06,-112.44444444444444,28.623499999999986,77.24939999999994,Income Tax Office
2017-02-07,96.87777777777778,28.623500000000003,77.24939999999991,Income Tax Office
2017-02-08,138.16483516483515,28.623500000000003,77.24939999999991,Income Tax Office
2017-02-09,134.4835164835165,28.623500000000003,77.24939999999991,Income Tax Office
2017-02-10,111.73033707865169,28.6235,77.24939999999991,Income Tax Office
2017-02-11,145.28735632183907,28.623499999999996,77.24939999999991,Income Tax Office
2017-02-12,153.82978723404256,28.62350000000001,77.2493999999999,Income Tax Office
2017-02-13,150.01176470588234,28.623499999999993,77.24939999999992,Income Tax Office
2017-02-14,254.58695652173913,28.62349999999999,77.24940000000004,Income Tax Office
2017-02-15,212.17142857142858,28.623499999999968,77.24939999999997,Income Tax Office
2017-02-16,285.1758241758242,28.623500000000003,77.24939999999991,Income Tax Office
2017-02-17,326.05,28.623499999999996,77.24939999999998,Income Tax Office
2017-02-18,,,,Income Tax Office
2017-02-19,,,,Income Tax Office
2017-02-20,80.90384615384616,28.623499999999982,77.24940000000005,Income Tax Office
2017-02-21,83.74418604651163,28.623499999999996,77.24939999999992,Income Tax Office
2017-02-22,101.74698795180723,28.62349999999999,77.24939999999992,Income Tax Office
2017-02-23,66.84615384615384,28.623500000000003,77.24939999999991,Income Tax Office
2017-02-24,61.426829268292686,28.62349999999999,77.24939999999992,Income Tax Office
2017-02-25,78.57954545454545,28.6235,77.24939999999991,Income Tax Office
2017-02-26,89.78888888888889,28.623500000000003,77.24939999999991,Income Tax Office
2017-02-27,93.21917808219177,28.623499999999968,77.24939999999995,Income Tax Office
2017-02-28,143.35616438356163,28.623499999999968,77.24939999999995,Income Tax Office
2017-03-01,110.06666666666666,28.623500000000003,77.24939999999991,Income Tax Office
2017-03-02,112.09411764705882,28.623499999999993,77.24939999999992,Income Tax Office
2017-03-03,65.80434782608695,28.623500000000007,77.24939999999991,Income Tax Office
2017-03-04,80.28260869565217,28.623500000000007,77.24939999999991,Income Tax Office
2017-03-05,95.25531914893617,28.62350000000001,77.2493999999999,Income Tax Office
2017-03-06,88.0989010989011,28.623500000000003,77.24939999999991,Income Tax Office
2017-03-07,103.70114942528735,28.623499999999996,77.24939999999991,Income Tax Office
2017-03-08,56.43478260869565,28.623500000000007,77.24939999999991,Income Tax Office
2017-03-09,60.24175824175824,28.623500000000003,77.24939999999991,Income Tax Office
2017-03-10,39.376344086021504,28.623500000000007,77.2493999999999,Income Tax Office
2017-03-11,57.735632183908045,28.623499999999996,77.24939999999991,Income Tax Office
2017-03-12,59.17777777777778,28.623500000000003,77.24939999999991,Income Tax Office
2017-03-13,65.81521739130434,28.623500000000007,77.24939999999991,Income Tax Office
2017-03-14,74.76923076923077,28.623500000000003,77.24939999999991,Income Tax Office
2017-03-15,96.3936170212766,28.62350000000001,77.2493999999999,Income Tax Office
2017-03-16,110.75280898876404,28.6235,77.24939999999991,Income Tax Office
2017-03-17,82.81318681318682,28.623500000000003,77.24939999999991,Income Tax Office
2017-03-18,98.25581395348837,28.623499999999996,77.24939999999992,Income Tax Office
2017-03-19,99.21176470588236,28.623499999999993,77.24939999999992,Income Tax Office
2017-03-20,114.53488372093024,28.623499999999996,77.24939999999992,Income Tax Office
2017-03-21,123.48809523809524,28.623499999999993,77.24939999999992,Income Tax Office
2017-03-22,86.29166666666667,28.623499999999964,77.24939999999997,Income Tax Office
2017-03-23,124.61176470588235,28.623499999999993,77.24939999999992,Income Tax Office
2017-03-24,91.04819277108433,28.62349999999999,77.24939999999992,Income Tax Office
2017-03-25,69.57608695652173,28.623500000000007,77.24939999999991,Income Tax Office
2017-03-26,77.57291666666667,28.62350000000001,77.2493999999999,Income Tax Office
2017-03-27,77.78378378378379,28.62349999999997,77.24939999999995,Income Tax Office
2017-03-28,115.6413043478261,28.623500000000007,77.24939999999991,Income Tax Office
2017-03-29,65.41052631578947,28.62350000000001,77.2493999999999,Income Tax Office
2017-03-30,64.88372093023256,28.623499999999996,77.24939999999992,Income Tax Office
2017-03-31,77.62068965517241,28.623499999999996,77.24939999999991,Income Tax Office
2017-04-01,69.74444444444444,28.623500000000003,77.24939999999991,Income Tax Office
2017-04-02,61.851063829787236,28.62350000000001,77.2493999999999,Income Tax Office
2017-04-03,63.25,28.623500000000007,77.24939999999991,Income Tax Office
2017-04-04,51.04,28.623499999999975,77.24939999999995,Income Tax Office
2017-04-05,37.578947368421055,28.623499999999975,77.24939999999995,Income Tax Office
2017-04-06,75.78888888888889,28.623500000000003,77.24939999999991,Income Tax Office
2017-04-07,107.02127659574468,28.62350000000001,77.2493999999999,Income Tax Office
2017-04-08,92.48421052631579,28.62350000000001,77.2493999999999,Income Tax Office
2017-04-09,38.13483146067416,28.6235,77.24939999999991,Income Tax Office
2017-04-10,50.50769230769231,28.62349999999997,77.2494,Income Tax Office
2017-04-11,53.05555555555556,28.623499999999982,77.24940000000005,Income Tax Office
2017-04-12,108.14285714285714,28.623500000000003,77.2494,Income Tax Office
2017-04-13,122.66666666666667,28.623499999999975,77.24939999999995,Income Tax Office
2017-04-14,180.94736842105263,28.62350000000001,77.2493999999999,Income Tax Office
2017-04-15,94.30208333333333,28.62350000000001,77.2493999999999,Income Tax Office
2017-04-16,144.66666666666666,28.62350000000001,77.2493999999999,Income Tax Office
2017-04-17,119.34736842105264,28.62350000000001,77.2493999999999,Income Tax Office
2017-04-18,120.49438202247191,28.6235,77.24939999999991,Income Tax Office
2017-04-19,75.01075268817205,28.623500000000007,77.2493999999999,Income Tax Office
2017-04-20,80.09433962264151,28.623499999999982,77.24940000000005,Income Tax Office
2017-04-21,113.98863636363636,28.6235,77.24939999999991,Income Tax Office
2017-04-22,55.02247191011236,28.6235,77.24939999999991,Income Tax Office
2017-04-23,9.456521739130435,28.623500000000007,77.24939999999991,Income Tax Office
2017-04-24,37.22826086956522,28.623500000000007,77.24939999999991,Income Tax Office
2017-04-25,46.26966292134831,28.6235,77.24939999999991,Income Tax Office
2017-04-26,43.16304347826087,28.623500000000007,77.24939999999991,Income Tax Office
2017-04-27,73.36619718309859,28.623499999999968,77.24939999999997,Income Tax Office
2017-04-28,54.95454545454545,28.62349999999997,77.24939999999998,Income Tax Office
2017-04-29,83.6774193548387,28.623500000000007,77.2493999999999,Income Tax Office
2017-04-30,54.56521739130435,28.623500000000007,77.24939999999991,Income Tax Office
2017-05-01,69.13978494623656,28.623500000000007,77.2493999999999,Income Tax Office
2017-05-02,107.96551724137932,28.623499999999996,77.24939999999991,Income Tax Office
2017-05-03,85.75268817204301,28.623500000000007,77.2493999999999,Income Tax Office
2017-05-04,114.63736263736264,28.623500000000003,77.24939999999991,Income Tax Office
2017-05-05,138.02197802197801,28.623500000000003,77.24939999999991,Income Tax Office
2017-05-06,139.2127659574468,28.62350000000001,77.2493999999999,Income Tax Office
2017-05-07,110.37362637362638,28.623500000000003,77.24939999999991,Income Tax Office
2017-05-08,135.6705882352941,28.623499999999993,77.24939999999992,Income Tax Office
2017-05-09,99.37179487179488,28.62349999999998,77.24939999999994,Income Tax Office
2017-05-10,174.39473684210526,28.623499999999975,77.24939999999995,Income Tax Office
2017-05-11,131.28571428571428,28.62349999999998,77.24939999999994,Income Tax Office
2017-05-12,195.78947368421052,28.623499999999975,77.24939999999995,Income Tax Office
2017-05-13,130.7173913043478,28.623500000000007,77.24939999999991,Income Tax Office
2017-05-14,63.68674698795181,28.62349999999999,77.24939999999992,Income Tax Office
2017-05-15,48.082191780821915,28.623499999999968,77.24939999999995,Income Tax Office
2017-05-16,87.42682926829268,28.62349999999999,77.24939999999992,Income Tax Office
2017-05-17,138.15853658536585,28.62349999999999,77.24939999999992,Income Tax Office
2017-05-18,91.95833333333333,28.623499999999964,77.24939999999997,Income Tax Office
2017-05-19,94.20338983050847,28.623499999999975,77.24940000000002,Income Tax Office
2017-05-20,25.79310344827586,28.623499999999996,77.24939999999991,Income Tax Office
2017-05-21,-15.709090909090909,28.62349999999998,77.24940000000004,Income Tax Office
2017-05-22,155.97222222222223,28.62350000000001,77.24940000000001,Income Tax Office
2017-05-23,103.95945945945945,28.62349999999997,77.24939999999995,Income Tax Office
2017-05-24,115.10169491525424,28.623499999999975,77.24940000000002,Income Tax Office
2017-05-25,167.74324324324326,28.62349999999997,77.24939999999995,Income Tax Office
2017-05-26,103.58441558441558,28.62349999999998,77.24939999999994,Income Tax Office
2017-05-27,122.67073170731707,28.62349999999999,77.24939999999992,Income Tax Office
2017-05-28,117.07407407407408,28.623499999999986,77.24939999999994,Income Tax Office
2017-05-29,151.16883116883116,28.62349999999998,77.24939999999994,Income Tax Office
2017-05-30,152.84848484848484,28.62349999999997,77.24939999999998,Income Tax Office
2017-05-31,120.68181818181819,28.6235,77.24939999999998,Income Tax Office
2017-06-01,140.64912280701753,28.62349999999998,77.24940000000004,Income Tax Office
2017-06-02,105.21621621621621,28.623500000000007,77.24940000000001,Income Tax Office
2017-06-03,165.17073170731706,28.6235,77.24940000000002,Income Tax Office
2017-06-04,119.06666666666666,28.623499999999975,77.24940000000001,Income Tax Office
2017-06-05,77.8913043478261,28.62349999999999,77.24940000000004,Income Tax Office
2017-06-06,,,,Income Tax Office
2017-06-07,,,,Income Tax Office
2017-06-08,,,,Income Tax Office
2017-06-09,,,,Income Tax Office
2017-06-10,,,,Income Tax Office
2017-06-11,,,,Income Tax Office
2017-06-12,49.5,28.6235,77.2494,Income Tax Office
2017-06-13,101.55813953488372,28.623499999999996,77.24940000000004,Income Tax Office
2017-06-14,101.8076923076923,28.623500000000003,77.24939999999997,Income Tax Office
2017-06-15,72.54,28.623499999999986,77.24940000000005,Income Tax Office
2017-06-16,52.6025641025641,28.62349999999998,77.24939999999994,Income Tax Office
2017-06-17,67.98795180722891,28.62349999999999,77.24939999999992,Income Tax Office
2017-06-18,129.6413043478261,28.623500000000007,77.24939999999991,Income Tax Office
2017-06-19,118.72058823529412,28.623499999999968,77.24939999999998,Income Tax Office
2017-06-20,59.51851851851852,28.623499999999982,77.24940000000005,Income Tax Office
2017-06-21,81.39473684210526,28.623499999999975,77.24939999999995,Income Tax Office
2017-06-22,89.75862068965517,28.623499999999996,77.24939999999991,Income Tax Office
2017-06-23,124.98113207547169,28.623499999999982,77.24940000000005,Income Tax Office
2017-06-24,224.27941176470588,28.623499999999968,77.24939999999998,Income Tax Office
2017-06-25,250.6153846153846,28.623500000000003,77.24940000000002,Income Tax Office
2017-06-26,242.2,28.6235,77.2494,Income Tax Office
2017-06-27,115.94736842105263,28.62349999999998,77.24940000000004,Income Tax Office
2017-06-28,122.26027397260275,28.623499999999968,77.24939999999995,Income Tax Office
2017-06-29,61.625,28.62349999999998,77.24940000000004,Income Tax Office
2017-06-30,105.1044776119403,28.623499999999968,77.24939999999998,Income Tax Office
2017-07-01,207.0,28.623499999999996,77.2494,Income Tax Office
2017-07-02,103.0,28.6235,77.2494,Income Tax Office
2017-07-03,73.58181818181818,28.62349999999998,77.24940000000004,Income Tax Office
2017-07-04,68.84042553191489,28.62350000000001,77.2493999999999,Income Tax Office
2017-07-05,86.76595744680851,28.62350000000001,77.2493999999999,Income Tax Office
2017-07-06,77.1413043478261,28.623500000000007,77.24939999999991,Income Tax Office
2017-07-07,76.47252747252747,28.623500000000003,77.24939999999991,Income Tax Office
2017-07-08,74.66315789473684,28.62350000000001,77.2493999999999,Income Tax Office
2017-07-09,85.05434782608695,28.623500000000007,77.24939999999991,Income Tax Office
2017-07-10,69.09375,28.62350000000001,77.2493999999999,Income Tax Office
2017-07-11,65.05263157894737,28.62350000000001,77.2493999999999,Income Tax Office
2017-07-12,53.55681818181818,28.6235,77.24939999999991,Income Tax Office
2017-07-13,50.855421686746986,28.62349999999999,77.24939999999992,Income Tax Office
2017-07-14,55.747126436781606,28.623499999999996,77.24939999999991,Income Tax Office
2017-07-15,62.77777777777778,28.623500000000003,77.24939999999991,Income Tax Office
2017-07-16,62.44827586206897,28.623499999999996,77.24939999999991,Income Tax Office
2017-07-17,67.24444444444444,28.623500000000003,77.24939999999991,Income Tax Office
2017-07-18,72.1264367816092,28.623499999999996,77.24939999999991,Income Tax Office
2017-07-19,83.46153846153847,28.623500000000003,77.24939999999991,Income Tax Office
2017-07-20,54.12222222222222,28.623500000000003,77.24939999999991,Income Tax Office
2017-07-21,44.81111111111111,28.623500000000003,77.24939999999991,Income Tax Office
2017-07-22,50.141304347826086,28.623500000000007,77.24939999999991,Income Tax Office
2017-07-23,45.247191011235955,28.6235,77.24939999999991,Income Tax Office
2017-07-24,46.58904109589041,28.623499999999968,77.24939999999995,Income Tax Office
2017-07-25,43.30909090909091,28.62349999999998,77.24940000000004,Income Tax Office
2017-07-26,55.0989010989011,28.623500000000003,77.24939999999991,Income Tax Office
2017-07-27,50.06521739130435,28.623500000000007,77.24939999999991,Income Tax Office
2017-07-28,53.15384615384615,28.623500000000003,77.24939999999991,Income Tax Office
2017-07-29,58.22222222222222,28.62349999999997,77.2494,Income Tax Office
2017-07-30,31.0,28.6235,77.2494,Income Tax Office
2017-07-31,37.370370370370374,28.623499999999982,77.24940000000005,Income Tax Office
2017-08-01,43.233333333333334,28.623500000000003,77.24939999999991,Income Tax Office
2017-08-02,53.31818181818182,28.6235,77.24939999999991,Income Tax Office
2017-08-03,51.42391304347826,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-04,90.05494505494505,28.623500000000003,77.24939999999991,Income Tax Office
2017-08-05,86.80434782608695,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-06,83.1086956521739,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-07,69.6923076923077,28.623500000000003,77.24939999999991,Income Tax Office
2017-08-08,76.01063829787235,28.62350000000001,77.2493999999999,Income Tax Office
2017-08-09,86.15730337078652,28.6235,77.24939999999991,Income Tax Office
2017-08-10,86.02272727272727,28.6235,77.24939999999991,Income Tax Office
2017-08-11,52.766666666666666,28.623500000000003,77.24939999999991,Income Tax Office
2017-08-12,41.97802197802198,28.623500000000003,77.24939999999991,Income Tax Office
2017-08-13,55.126315789473686,28.62350000000001,77.2493999999999,Income Tax Office
2017-08-14,58.51162790697674,28.623499999999996,77.24939999999992,Income Tax Office
2017-08-15,60.03125,28.62350000000001,77.2493999999999,Income Tax Office
2017-08-16,65.93478260869566,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-17,68.89247311827957,28.623500000000007,77.2493999999999,Income Tax Office
2017-08-18,77.32608695652173,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-19,59.483870967741936,28.623500000000007,77.2493999999999,Income Tax Office
2017-08-20,47.130434782608695,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-21,58.40860215053763,28.623500000000007,77.2493999999999,Income Tax Office
2017-08-22,66.51612903225806,28.623500000000007,77.2493999999999,Income Tax Office
2017-08-23,73.97619047619048,28.623499999999993,77.24939999999992,Income Tax Office
2017-08-24,83.76315789473684,28.623499999999975,77.24939999999995,Income Tax Office
2017-08-25,78.65217391304348,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-26,67.52222222222223,28.623500000000003,77.24939999999991,Income Tax Office
2017-08-27,66.6195652173913,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-28,42.947916666666664,28.62350000000001,77.2493999999999,Income Tax Office
2017-08-29,48.61702127659574,28.62350000000001,77.2493999999999,Income Tax Office
2017-08-30,53.26086956521739,28.623500000000007,77.24939999999991,Income Tax Office
2017-08-31,67.93548387096774,28.623500000000007,77.2493999999999,Income Tax Office
2017-09-01,44.735632183908045,28.623499999999996,77.24939999999991,Income Tax Office
2017-09-02,48.641304347826086,28.623500000000007,77.24939999999991,Income Tax Office
2017-09-03,51.30337078651685,28.6235,77.24939999999991,Income Tax Office
2017-09-04,58.623655913978496,28.623500000000007,77.2493999999999,Income Tax Office
2017-09-05,57.51063829787234,28.62350000000001,77.2493999999999,Income Tax Office
2017-09-06,59.52173913043478,28.623500000000007,77.24939999999991,Income Tax Office
2017-09-07,72.13829787234043,28.62350000000001,77.2493999999999,Income Tax Office
2017-09-08,100.21348314606742,28.6235,77.24939999999991,Income Tax Office
2017-09-09,83.24444444444444,28.623500000000003,77.24939999999991,Income Tax Office
2017-09-10,83.76923076923077,28.62349999999998,77.24939999999994,Income Tax Office
2017-09-11,87.5632183908046,28.623499999999996,77.24939999999991,Income Tax Office
2017-09-12,74.68539325842697,28.6235,77.24939999999991,Income Tax Office
2017-09-13,110.91397849462365,28.623500000000007,77.2493999999999,Income Tax Office
2017-09-14,108.08791208791209,28.623500000000003,77.24939999999991,Income Tax Office
2017-09-15,85.18181818181819,28.6235,77.24939999999991,Income Tax Office
2017-09-16,95.06849315068493,28.623499999999968,77.24939999999995,Income Tax Office
2017-09-17,68.52631578947368,28.623499999999975,77.24939999999995,Income Tax Office
2017-09-18,95.15384615384616,28.62349999999997,77.2494,Income Tax Office
2017-09-19,122.01515151515152,28.62349999999997,77.24939999999998,Income Tax Office
2017-09-20,111.76,28.623500000000003,77.24939999999997,Income Tax Office
2017-09-21,77.61818181818182,28.62349999999998,77.24940000000004,Income Tax Office
2017-09-22,52.25,28.623499999999986,77.24939999999994,Income Tax Office
2017-09-23,75.3132530120482,28.62349999999999,77.24939999999992,Income Tax Office
2017-09-24,71.7,28.623499999999986,77.24939999999994,Income Tax Office
2017-09-25,90.52564102564102,28.62349999999998,77.24939999999994,Income Tax Office
2017-09-26,107.20967741935483,28.62349999999997,77.24940000000001,Income Tax Office
2017-09-27,123.4186046511628,28.623499999999996,77.24940000000004,Income Tax Office
2017-09-28,144.64150943396226,28.623499999999982,77.24940000000005,Income Tax Office
2017-09-29,118.36363636363636,28.623499999999993,77.24940000000004,Income Tax Office
2017-09-30,125.25,28.62349999999999,77.24940000000005,Income Tax Office
2017-10-01,85.54545454545455,28.62349999999997,77.24939999999998,Income Tax Office
2017-10-02,80.85964912280701,28.62349999999998,77.24940000000004,Income Tax Office
2017-10-03,295.1714285714286,28.623500000000014,77.24940000000001,Income Tax Office
2017-10-04,117.63291139240506,28.623499999999982,77.24939999999994,Income Tax Office
2017-10-05,96.89473684210526,28.623499999999975,77.24939999999995,Income Tax Office
2017-10-06,93.31111111111112,28.623500000000003,77.24939999999991,Income Tax Office
2017-10-07,118.67088607594937,28.623499999999982,77.24939999999994,Income Tax Office
2017-10-08,143.7530864197531,28.623499999999986,77.24939999999994,Income Tax Office
2017-10-09,97.66071428571429,28.62349999999998,77.24940000000004,Income Tax Office
2017-10-10,112.04597701149426,28.623499999999996,77.24939999999991,Income Tax Office
2017-10-11,118.16091954022988,28.623499999999996,77.24939999999991,Income Tax Office
2017-10-12,129.77631578947367,28.623499999999975,77.24939999999995,Income Tax Office
2017-10-13,122.43373493975903,28.62349999999999,77.24939999999992,Income Tax Office
2017-10-14,137.0705882352941,28.623499999999993,77.24939999999992,Income Tax Office
2017-10-15,136.2906976744186,28.623499999999996,77.24939999999992,Income Tax Office
2017-10-16,143.3625,28.623499999999986,77.24939999999994,Income Tax Office
2017-10-17,186.6086956521739,28.6235,77.24939999999997,Income Tax Office
2017-10-18,126.22222222222223,28.623500000000003,77.2494,Income Tax Office
2017-10-19,185.71929824561403,28.62349999999998,77.24940000000004,Income Tax Office
2017-10-20,239.57142857142858,28.623500000000014,77.24940000000001,Income Tax Office
2017-10-21,254.89743589743588,28.62349999999998,77.24939999999994,Income Tax Office
2017-10-22,193.38888888888889,28.623500000000003,77.24939999999991,Income Tax Office
2017-10-23,174.8125,28.623499999999986,77.24939999999994,Income Tax Office
2017-10-24,165.57692307692307,28.623500000000003,77.24939999999997,Income Tax Office
2017-10-25,203.0943396226415,28.623499999999982,77.24940000000005,Income Tax Office
2017-10-26,138.77777777777777,28.623499999999982,77.24940000000005,Income Tax Office
2017-10-27,163.33766233766235,28.62349999999998,77.24939999999994,Income Tax Office
2017-10-28,124.14925373134328,28.623499999999968,77.24939999999998,Income Tax Office
2017-10-29,140.125,28.623499999999986,77.24939999999994,Income Tax Office
2017-10-30,203.03488372093022,28.623499999999996,77.24939999999992,Income Tax Office
2017-10-31,261.6578947368421,28.623499999999975,77.24939999999995,Income Tax Office
2017-11-01,197.81333333333333,28.623499999999975,77.24939999999995,Income Tax Office
2017-11-02,220.63333333333333,28.62350000000001,77.24939999999998,Income Tax Office
2017-11-03,247.38636363636363,28.623499999999993,77.24940000000004,Income Tax Office
2017-11-04,272.037037037037,28.623499999999986,77.24939999999994,Income Tax Office
2017-11-05,286.8,28.623499999999986,77.24939999999994,Income Tax Office
2017-11-06,237.09803921568627,28.623499999999986,77.24940000000005,Income Tax Office
2017-11-07,356.14814814814815,28.623500000000007,77.24939999999997,Income Tax Office
2017-11-08,674.7068965517242,28.623499999999975,77.24940000000002,Income Tax Office
2017-11-09,566.8641975308642,28.623499999999986,77.24939999999994,Income Tax Office
2017-11-10,312.0470588235294,28.623499999999993,77.24939999999992,Income Tax Office
2017-11-11,383.1111111111111,28.623500000000003,77.24939999999991,Income Tax Office
2017-11-12,436.8636363636364,28.6235,77.24939999999991,Income Tax Office
2017-11-13,251.8,28.623499999999993,77.24939999999992,Income Tax Office
2017-11-14,203.1851851851852,28.623499999999986,77.24939999999994,Income Tax Office
2017-11-15,171.30263157894737,28.623499999999975,77.24939999999995,Income Tax Office
2017-11-16,144.49333333333334,28.623499999999975,77.24939999999995,Income Tax Office
2017-11-17,121.55555555555556,28.623499999999964,77.24939999999997,Income Tax Office
2017-11-18,114.06944444444444,28.623499999999964,77.24939999999997,Income Tax Office
2017-11-19,131.4927536231884,28.623499999999968,77.24939999999997,Income Tax Office
2017-11-20,164.67741935483872,28.62349999999997,77.24940000000001,Income Tax Office
2017-11-21,185.80882352941177,28.623499999999968,77.24939999999998,Income Tax Office
2017-11-22,157.05454545454546,28.62349999999998,77.24940000000004,Income Tax Office
2017-11-23,145.8421052631579,28.62349999999998,77.24940000000004,Income Tax Office
2017-11-24,165.91228070175438,28.62349999999998,77.24940000000004,Income Tax Office
2017-11-25,179.86885245901638,28.623499999999975,77.24940000000001,Income Tax Office
2017-11-26,177.27272727272728,28.62349999999998,77.24939999999994,Income Tax Office
2017-11-27,181.09375,28.62349999999997,77.2494,Income Tax Office
2017-11-28,99.62962962962963,28.623500000000007,77.24939999999997,Income Tax Office
2017-01-01,200.7866666666667,,,Siri Fort
2017-01-02,242.39347826086953,,,Siri Fort
2017-01-03,234.2574468085106,,,Siri Fort
2017-01-04,178.05957446808512,,,Siri Fort
2017-01-05,183.85531914893616,,,Siri Fort
2017-01-06,159.98478260869567,,,Siri Fort
2017-01-07,129.34042553191486,,,Siri Fort
2017-01-08,132.83260869565217,,,Siri Fort
2017-01-09,148.92666666666665,,,Siri Fort
2017-01-10,135.46444444444447,,,Siri Fort
2017-01-11,168.1695652173913,,,Siri Fort
2017-01-12,227.1622222222222,,,Siri Fort
2017-01-13,346.985294117647,,,Siri Fort
2017-01-14,261.97999999999996,,,Siri Fort
2017-01-15,230.95000000000002,,,Siri Fort
2017-01-16,159.82391304347829,,,Siri Fort
2017-01-17,179.89487179487176,,,Siri Fort
2017-01-18,310.854054054054,,,Siri Fort
2017-01-19,270.90526315789475,,,Siri Fort
2017-01-20,246.85588235294125,,,Siri Fort
2017-01-21,369.16785714285714,,,Siri Fort
2017-01-22,290.57500000000005,,,Siri Fort
2017-01-23,323.28000000000003,,,Siri Fort
2017-01-24,240.3125,,,Siri Fort
2017-01-25,202.78048780487805,,,Siri Fort
2017-01-26,91.325,,,Siri Fort
2017-01-27,76.25,,,Siri Fort
2017-01-28,99.66666666666667,,,Siri Fort
2017-01-29,157.46666666666667,,,Siri Fort
2017-01-30,160.1860465116279,,,Siri Fort
2017-01-31,146.21951219512195,,,Siri Fort
2017-02-01,142.0,,,Siri Fort
2017-02-02,175.54761904761904,,,Siri Fort
2017-02-03,180.02272727272728,,,Siri Fort
2017-02-04,165.3953488372093,,,Siri Fort
2017-02-05,176.0681818181818,,,Siri Fort
2017-02-06,138.26315789473685,,,Siri Fort
2017-02-07,91.5952380952381,,,Siri Fort
2017-02-08,114.65217391304348,,,Siri Fort
2017-02-09,130.88372093023256,,,Siri Fort
2017-02-10,136.4390243902439,,,Siri Fort
2017-02-11,140.1951219512195,,,Siri Fort
2017-02-12,161.57142857142858,,,Siri Fort
2017-02-13,166.4102564102564,,,Siri Fort
2017-02-14,179.63888888888889,,,Siri Fort
2017-02-15,214.90243902439025,,,Siri Fort
2017-02-16,254.10526315789474,,,Siri Fort
2017-02-17,125.26666666666667,,,Siri Fort
2017-02-18,110.23255813953489,,,Siri Fort
2017-02-19,108.07692307692308,,,Siri Fort
2017-02-20,91.57142857142857,,,Siri Fort
2017-02-21,86.52380952380952,,,Siri Fort
2017-02-22,77.925,,,Siri Fort
2017-02-23,163.0,,,Siri Fort
2017-02-24,374.0,,,Siri Fort
2017-02-25,251.0,,,Siri Fort
2017-02-26,467.0,,,Siri Fort
2017-02-27,,,,Siri Fort
2017-02-28,174.05263157894737,,,Siri Fort
2017-03-01,100.88888888888889,,,Siri Fort
